Date,Total_Collection,Revenue_Type
2020-01-01,1500,Screen-1
2020-01-01,2500,Screen-2
2020-01-01,3561,Screen-3
2020-01-01,1200,Food & Beverages
2020-01-01,2566,Advertisment
2020-01-02,1600,Screen-1
2020-01-02,1700,Screen-2
2020-01-02,2500,Screen-3
2020-01-02,2655,Food & Beverages
2020-01-02,1250,Advertisment
2020-01-03,2100,Screen-1
2020-01-03,2700,Screen-2
2020-01-03,1455,Screen-3
2020-01-03,1200,Food & Beverages
2020-01-03,2300,Advertisment
2020-01-04,4500,Screen-1
2020-01-04,5100,Screen-2
2020-01-04,6000,Screen-3
2020-01-04,3200,Food & Beverages
2020-01-04,4000,Advertisment
2020-02-01,2500,Screen-1
2020-02-01,1200,Screen-2
2020-02-01,3600,Screen-3
2020-02-01,4500,Food & Beverages
2020-02-01,8000,Advertisment
2020-02-02,1456,Screen-1
2020-02-02,2578,Screen-2
2020-02-02,9874,Screen-3
2020-02-02,2569,Food & Beverages
2020-02-02,1456,Advertisment
2020-02-03,2356,Screen-1
2020-02-03,3578,Screen-2
2020-02-03,9875,Screen-3
2020-02-03,1254,Food & Beverages
2020-02-03,2587,Advertisment
2020-02-03,2589,Screen-1
2020-02-04,3658,Screen-2
2020-02-04,1456,Screen-3
2020-02-04,1245,Food & Beverages
2020-02-04,7890,Advertisment
2020-03-01,1478,Screen-1
2020-03-01,2569,Screen-2
2020-03-01,1500,Screen-3
2020-03-01,1400,Food & Beverages
2020-03-01,2560,Advertisment
2020-03-02,2570,Screen-1
2020-03-02,2890,Screen-2
2020-03-02,2654,Screen-3
2020-03-02,2145,Food & Beverages
2020-03-02,9871,Advertisment
2020-03-03,956,Screen-1
2020-03-03,9856,Screen-2
2020-03-03,9631,Screen-3
2020-03-03,7520,Food & Beverages
2020-03-03,4152,Advertisment
2020-03-03,1256,Screen-1
2020-03-04,3256,Screen-2
2020-03-04,3879,Screen-3
2020-03-04,9856,Food & Beverages
2020-03-04,1254,Advertisment
2020-04-01,1478,Screen-1
2020-04-01,2569,Screen-2
2020-04-01,1500,Screen-3
2020-04-01,1400,Food & Beverages
2020-04-01,2560,Advertisment
2020-04-02,2570,Screen-1
2020-04-02,2890,Screen-2
2020-04-02,2654,Screen-3
2020-04-02,2145,Food & Beverages
2020-04-02,9871,Advertisment
2020-04-03,956,Screen-1
2020-04-03,9856,Screen-2
2020-04-03,9631,Screen-3
2020-04-03,7520,Food & Beverages
2020-04-03,4152,Advertisment
2020-04-03,1256,Screen-1
2020-04-04,3256,Screen-2
2020-04-04,3879,Screen-3
2020-04-04,9856,Food & Beverages
2020-04-04,1254,Advertisment
2020-05-01,2500,Screen-1
2020-05-01,1200,Screen-2
2020-05-01,3600,Screen-3
2020-05-01,4500,Food & Beverages
2020-05-01,8000,Advertisment
2020-05-02,1456,Screen-1
2020-05-02,2578,Screen-2
2020-05-02,9874,Screen-3
2020-05-02,2569,Food & Beverages
2020-05-02,1456,Advertisment
2020-05-03,2356,Screen-1
2020-05-03,3578,Screen-2
2020-05-03,9875,Screen-3
2020-05-03,1254,Food & Beverages
2020-05-03,2587,Advertisment
2020-05-03,2589,Screen-1
2020-05-04,3658,Screen-2
2020-05-04,1456,Screen-3
2020-05-04,1245,Food & Beverages
2020-05-04,7890,Advertisment
2020-06-01,1500,Screen-1
2020-06-01,2500,Screen-2
2020-06-01,3561,Screen-3
2020-06-01,1200,Food & Beverages
2020-06-01,2566,Advertisment
