Date,Total Collections,Revenue Type
21-01-2019,748,Screen 1
21-01-2019,154,Screen 2
21-01-2019,235,Screen 3
21-01-2019,245,Food & Beverages
21-01-2019,245,Adversitement
21-01-2019,345,Others
02-03-2019,268,Screen 1
02-03-2019,156,Screen 2
02-03-2019,183,Screen 3
02-03-2019,246,Food & Beverages
02-03-2019,432,Adversitement
02-03-2019,568,Others
03-05-2019,178,Screen 1
03-05-2019,283,Screen 2
03-05-2019,193,Screen 3
03-05-2019,386,Food & Beverages
03-05-2019,367,Adversitement
03-05-2019,667,Others
14-07-2019,468,Screen 1
14-07-2019,426,Screen 2
14-07-2019,298,Screen 3
14-07-2019,287,Food & Beverages
14-07-2019,198,Adversitement
14-07-2019,183,Others
25-09-2019,267,Screen 1
25-09-2019,478,Screen 2
25-09-2019,287,Screen 3
25-09-2019,378,Food & Beverages
25-09-2019,378,Adversitement
25-09-2019,187,Others
18-12-2019,926,Screen 1
18-12-2019,176,Screen 2
18-12-2019,267,Screen 3
18-12-2019,457,Food & Beverages
18-12-2019,165,Adversitement
18-12-2019,154,Others
07-01-2020,278,Screen 1
07-01-2020,454,Screen 2
07-01-2020,245,Screen 3
07-01-2020,788,Food & Beverages
07-01-2020,543,Adversitement
07-01-2020,246,Others
18-02-2020,187,Screen 1
18-02-2020,836,Screen 2
18-02-2020,367,Screen 3
18-02-2020,987,Food & Beverages
18-02-2020,165,Adversitement
18-02-2020,145,Others
20-03-2020,145,Screen 1
20-03-2020,257,Screen 2
20-03-2020,355,Screen 3
20-03-2020,945,Food & Beverages
20-03-2020,234,Adversitement
20-03-2020,144,Others
