Date,Total Collections,Revenue Type
21-01-2019,163,Screen 1
21-01-2019,254,Screen 2
21-01-2019,554,Screen 3
21-01-2019,286,Food & Beverages
21-01-2019,165,Adversitement
21-01-2019,256,Others
02-03-2019,356,Screen 1
02-03-2019,466,Screen 2
02-03-2019,678,Screen 3
02-03-2019,164,Food & Beverages
02-03-2019,356,Adversitement
02-03-2019,923,Others
03-05-2019,432,Screen 1
03-05-2019,145,Screen 2
03-05-2019,234,Screen 3
03-05-2019,264,Food & Beverages
03-05-2019,245,Adversitement
03-05-2019,156,Others
14-07-2019,256,Screen 1
14-07-2019,252,Screen 2
14-07-2019,165,Screen 3
14-07-2019,265,Food & Beverages
14-07-2019,187,Adversitement
14-07-2019,164,Others
25-09-2019,298,Screen 1
25-09-2019,387,Screen 2
25-09-2019,156,Screen 3
25-09-2019,325,Food & Beverages
25-09-2019,245,Adversitement
25-09-2019,246,Others
18-12-2019,154,Screen 1
18-12-2019,245,Screen 2
18-12-2019,245,Screen 3
18-12-2019,245,Food & Beverages
18-12-2019,235,Adversitement
18-12-2019,245,Others
07-01-2020,253,Screen 1
07-01-2020,145,Screen 2
07-01-2020,245,Screen 3
07-01-2020,253,Food & Beverages
07-01-2020,164,Adversitement
07-01-2020,753,Others
18-02-2020,654,Screen 1
18-02-2020,364,Screen 2
18-02-2020,754,Screen 3
18-02-2020,768,Food & Beverages
18-02-2020,347,Adversitement
18-02-2020,567,Others
20-03-2020,25,Screen 1
20-03-2020,235,Screen 2
20-03-2020,245,Screen 3
20-03-2020,24,Food & Beverages
20-03-2020,245,Adversitement
20-03-2020,265,Others
